,HomeTeam,AwayTeam,HomeMax4thLead,RoadMax4thLead,HomeWinMargin
0,GS,NO,21,-13,16
1,ORL,WSH,6,4,-1
2,BOS,PHI,19,-10,17
3,BKN,CHI,-7,17,-15
4,DET,UTAH,9,1,5
5,MIA,CHA,20,-5,10
6,TOR,IND,12,2,7
7,HOU,DEN,-9,20,-20
8,MEM,CLE,-22,32,-30
9,MIL,NY,-15,25,-25
10,OKC,SA,6,7,6
11,PHX,DAL,-16,26,-16
12,POR,NO,20,-10,18
13,SAC,LAC,1,13,-7
14,LAL,MIN,7,9,-1
15,IND,MEM,1,9,-9
16,NY,ATL,-11,19,-11
17,LAC,DAL,26,-16,16
18,CLE,MIA,20,-10,10
19,ORL,OKC,16,0,-3
20,PHI,UTAH,-23,32,-28
21,BOS,TOR,-8,19,-10
22,DET,CHI,5,3,4
23,ATL,CHA,14,-2,3
24,MIL,WSH,10,7,-5
25,SA,BKN,27,-10,27
26,DEN,MIN,-10,17,-17
27,HOU,GS,-13,25,-20
28,SAC,LAL,24,-16,18
29,PHX,POR,22,-13,18
30,IND,UTAH,-8,21,-21
31,WSH,NY,3,7,-7
32,NO,GS,-9,16,-14
33,MEM,BKN,16,-8,10
34,POR,PHX,1,11,-11
35,LAC,SAC,8,1,5
36,CHA,ATL,6,5,-2
37,BOS,SA,-5,12,-8
38,MIA,HOU,20,4,20
39,TOR,MIL,21,-6,19
40,CHI,ORL,15,-1,5
41,OKC,DEN,30,-23,24
42,LAL,DAL,-7,18,-10
43,PHI,CLE,-6,20,-7
44,BKN,MIL,2,7,-7
45,NY,SA,-4,14,-10
46,HOU,OKC,7,1,5
47,MIN,POR,0,10,-5
48,GS,MEM,50,-38,50
49,LAC,PHX,6,-2,6
50,CHA,CHI,35,-23,25
51,DET,IND,-12,18,-12
52,MIA,ATL,-4,14,-6
53,NO,ORL,-5,13,-9
54,DAL,TOR,3,13,-11
55,SAC,MEM,-13,21,-14
56,LAL,DEN,-5,11,-11
57,IND,BOS,5,4,2
58,WSH,SA,3,8,3
59,ATL,BKN,14,-1,14
60,CLE,NY,12,3,10
61,HOU,ORL,4,3,5
62,MIL,PHI,6,3,4
63,OKC,TOR,8,5,-5
64,PHX,SAC,21,-11,21
65,UTAH,POR,-7,16,-16
66,GS,LAC,4,10,4
67,CHI,OKC,10,0,6
68,MIN,MIA,-10,21,-12
69,DAL,CHA,-11,24,-14
70,DEN,UTAH,1,16,-12
71,POR,MEM,25,-19,19
72,ORL,TOR,5,5,5
73,BOS,WSH,26,-19,20
74,BKN,LAL,-3,11,-6
75,CLE,PHI,15,-5,6
76,NY,MIL,0,9,-7
77,IND,MIA,4,4,3
78,NO,ATL,0,15,-6
79,PHX,DET,-3,11,-8
80,GS,DEN,24,-10,15
81,SAC,HOU,-1,12,-6
82,CHI,MIN,6,2,-9
83,ATL,WSH,16,2,15
84,PHI,ORL,-2,8,-8
85,DAL,NO,15,0,9
86,MIL,BKN,17,-6,8
87,SA,CHA,24,-16,20
88,UTAH,MEM,21,-5,10
89,SAC,GS,1,10,-9
90,LAC,HOU,0,11,-4
91,CLE,IND,7,2,4
92,NY,LAL,8,5,4
93,MIA,TOR,22,-9,20
94,OKC,PHX,22,-9,21
95,POR,DET,13,17,-17
96,IND,ORL,13,3,13
97,PHI,CHI,-13,24,-23
98,ATL,MIN,0,10,-10
99,DEN,POR,6,1,4
100,SAC,SA,-4,22,-18
101,GS,DET,18,-4,14
102,LAC,MEM,8,2,2
103,CLE,UTAH,7,7,4
104,WSH,OKC,-21,28,-24
105,MIA,LAL,18,-8,13
106,TOR,NY,2,5,-2
107,MIL,BOS,-11,18,-16
108,MIN,CHA,-5,11,-9
109,NO,DAL,28,-13,15
110,CHA,NY,3,10,2
111,ORL,LAL,5,2,2
112,PHI,TOR,-14,21,-16
113,BOS,IND,-3,11,-11
114,ATL,NO,14,0,8
115,DAL,LAC,10,2,10
116,HOU,BKN,5,8,-8
117,MEM,GS,-7,21,-16
118,DEN,MIL,13,2,1
119,SAC,DET,19,-5,9
120,POR,SA,-4,12,-12
121,MIA,UTAH,9,0,1
122,MIN,GS,-5,13,-13
123,PHX,LAC,22,-13,14
124,IND,MIN,17,-1,4
125,ORL,UTAH,23,-7,9
126,BOS,ATL,15,-3,13
127,NY,CLE,8,6,-6
128,TOR,NO,24,-13,19
129,CHI,CHA,6,0,5
130,MEM,POR,11,1,1
131,OKC,PHI,21,-8,17
132,DAL,LAL,8,-1,8
133,DEN,HOU,12,-2,9
134,SAC,BKN,9,0,2
135,LAC,DET,5,1,5
136,WSH,ORL,9,2,9
137,HOU,DAL,-10,18,-12
138,MIL,CLE,9,0,3
139,SA,PHI,18,-4,9
140,PHX,DEN,37,-22,24
141,GS,BKN,3,7,8
142,NY,NO,10,0,8
143,MIN,MEM,0,9,-8
144,CHA,POR,23,-6,12
145,ATL,UTAH,3,7,-1
146,OKC,BOS,2,15,-15
147,SAC,TOR,6,10,6
148,LAL,DET,12,3,12
149,PHI,DAL,2,6,-6
150,CHI,IND,8,0,1
151,HOU,BOS,-16,29,-16
152,MEM,OKC,11,1,8
153,SA,POR,13,-4,13
154,PHX,LAL,21,-6,19
155,WSH,MIL,33,-16,29
156,BKN,ATL,6,3,2
157,DET,CLE,5,8,5
158,MIA,MIN,8,12,-12
159,NY,CHA,13,-3,8
160,NO,DEN,-6,18,-17
161,GS,TOR,7,0,5
162,CHA,BKN,8,0,5
163,ORL,MIN,7,5,3
164,PHI,IND,-21,33,-27
165,BOS,DAL,10,7,-4
166,ATL,SAC,11,-2,6
167,HOU,POR,0,15,5
168,OKC,NO,11,-3,7
169,SA,DEN,16,-10,11
170,UTAH,TOR,4,6,4
171,PHX,CHI,1,7,-6
172,MIA,SAC,16,-5,7
173,CLE,MIL,15,-7,15
174,LAC,GS,10,7,-7
175,CHA,PHI,25,-12,25
176,BOS,BKN,30,-22,25
177,MEM,HOU,18,-9,12
178,MIN,DET,-4,12,-10
179,NO,SA,14,-3,14
180,OKC,NY,-3,16,-3
181,DAL,UTAH,11,-5,9
182,DEN,PHX,5,11,-7
183,POR,LAC,13,0,11
184,GS,CHI,12,1,12
185,LAL,TOR,-5,16,-11
186,ORL,SAC,-6,16,-6
187,IND,MIL,39,-22,37
188,CLE,ATL,21,-12,12
189,DET,WSH,-1,5,-2
190,MIA,PHI,6,11,5
191,HOU,NY,1,6,-5
192,SA,MEM,15,-8,10
193,LAC,TOR,-6,15,-11
194,BKN,BOS,10,-4,10
195,NO,PHX,7,0,6
196,OKC,DAL,4,4,3
197,DEN,GS,-11,21,-13
198,LAL,POR,-3,14,-14
199,CHA,SAC,2,17,5
200,CLE,ORL,22,-13,14
201,MIA,NY,19,-12,17
202,MIL,DET,29,-21,21
203,MIN,PHI,7,6,5
